Replies_subject,relation,Replies_object
findings,are,interesting
User1178,go as low on,Flow %
filament your printer,extruding in,relation speed
setting,is,mainly used
setting,is mainly used,adjust
Answer1178,'ll give,you
Proper e-steps,is,basis
User1178,have,good average for filament diameter
flow rate,adjusting,proper amount of deposited filament
slicing software,make,compensate
hexagon shaped ones,are,E3D V6 nozzles
Answer1179,hear words at_time,time
3d Printer,is in,same sentance
nozzle,has,has removed from hot end
Answer1179,clear,nozzle tip
such movement,conflicting torsion between,guide tubes
Answer1180,noticing,such movement
Answer1180,doing,same thing
User1180,better success with,Dual V2
User1180,'re pulling off,30 hour prints
Answer1180,tried similarly to,that failed catastrophically
success,is with,large parts printing
Answer1180,pull,plug
Answer1180,looking for,solutions
Answer1180,pull plug,trying
Answer1180,started,thread about it
design,by ventilation is,based filaments
PLA,is,better
PLA,is better than,ABS
HIPS,are,same
Answer1182,looking at,building mine
Answer1182,looking at_time,week
Answer1182,'ll probably make,it
Answer1182,make,little one filament sit
doors,get left,open
User1182,get kept,busy
Drafts,are worst things ever for,ABS
Drafts,are,worst things ever
User1184,'re,probably correct
Yep,looks like,it
Answer1184,remove,fuse
Answer1184,unplugged,power
Answer1184,unplug,USB cable
Answer1184,'ll order,some
Answer1184,give,feedback
0451005,do,fine
Answer1184,will,will able
Answer1184,hopefully 'll get,them
perimeters,0,1
User1185,reslice model with,following changes
Slic3r,> Print,Perimeters > Layer height/first layer height
layer _ height,0,0.2
User1185,cut in,Plater tab
model,regenerate gcode file with,settings
User1185,reslice,model
model,regenerate,new gcode file
Answer1185,get,great/reliable prints
Answer1185,get prints at,5.1 mm
Your extruder idler washer measurement,is close to,mine
two values,is in,your Slicer configuration
User1185,Can post,Slic3r config
Answer1186,have,little different
t,0,3324
User1188,are getting,extrusion
User1188,should,should able
paper,feel,slight bit of resistance
print head,creases,paper
Answer1188,use,bed temperature of 110C
Answer1188,printing,ABS
you sir,are,foot
better adhesion,is with,ABS
Answer1189,getting,my PEI sheet
Answer1189,printing,something
Answer1189,printing something with,200 mm diameter base
Answer1189,upped bed to,120C
part,just floated across,surface
Answer1189,found,post
Answer1189,heading off,work
Answer1189,put,IPA
Answer1189,took,window scraper
equivalent,clean,bed
Answer1189,was getting Of,course
equivalent,clean bed in,places
Answer1189,took window scraper to,it
MikeO,have,have now officially inducted into hall of heroes
variance,is going,change with temperature
User1190,may want,look at Openbuilds extrusion modifications
User1190,lap anyways,surface
PEI,is,sandable
User1190,use,power method
User1190,use power method like,dremel on X carriage
User1190,do,it
User1190,would have,account
surface variance,will,will absorbed
User1190,access to,large honeing stone with side profile bigger than 12
User1190,have,access
User1190,account for,glass
User1190,are having,adhesion issues
User1191,order,yours direct from Lulzbot
User1191,Can post,picture showing
User1191,should probably call,support
pins,are,new connector recent to later model taz 5 's
zip tie issue,is,more personal preference
set screw,are,fine
Answer1194,always print via,USB link
problem,is with,it
Answer1194,play,videos
printer,while,printing
plastic,is,kept
Answer1195,understood,Wikipedia article
die swell,would,would factor
plastic,is kept in,its elongated shape
Answer1196,printed,new shroud
Vaeder,is,Yeah most likely one
Vaeder,Yeah is most likely one,he is referring to
hexagon hotend,is with,0.60 mm nozzle
makergeeks,make,sure
makergeeks,has,good selection
E3D V6 nozzles,are compatable with,hexagon
E3D V6 nozzles,are,compatable
carriage 5,Print,extruder
flexystruder body,insert,PTFE tube
way,make,hole large enough for fillament 7
center,remove,section
center,hobbed,bolt hole
center,hobbed bolt hole with,8 mm drill bit
hexagon,mount on,bottom
Answer1199,do stop,jamming
Answer1199,cleaned,knurled thing
Answer1199,was at,255deg
anyone,Has hit bed,see
Answer1199,calibrating,Z-Step
User1199,'re on,right track with dial
bed height,Quantifying,nozzle
Answer1199,'d suggest simultaneously,using
Cura,is,superior
Cura,is,From my experience superior to Slic3r
Answer1199,buying,Simplify3D
Answer1199,buying Simplify3D for,my prior printer
Answer1199,So continued with,S3D
Z,is,supposed
Answer1199,printed,toolhead variations
member,has taken,thermal images of bed
Answer1199,use,business card
LB,has,posts warning against use
mark,manaully extrude,10 mm
Teeth marks,can,can possibly caught in transition
things,are,misaligned
User1199,tweak,retraction settings
User1199,check extruder to,hotend alignment
screws,cause,1-2 mm misaligment
User1199,check,extruder
screws,may loosen over,time
User1199,'ve had,your TAZ
friction,is in,filament path
heatsink blower,make,sure
heatsink blower,functioning,make
areas,are,kept
areas,are kept,cool
nozzle,has For,turn around
pressure,is,little bit
pressure,is little bit behind,actions
User1200,can minimize,effect
things,have,effects
real fix,can,can only done inside firmware
Exact same thing,happened to,mine
part number GSASL 16-5-5-NAB,looking at,taz 5 bom
looking,shows,part number GSASL 16-5-5-NAB
uk.misumi,shows,GSASL 16-5-5 without NAB part
CPL,is,exact
part number CPL,is,equivalent
Lulzbot,Well offered,warranty replacement for broken piece
full printer,sent back to,Lulzbot headquarters
30 days,is in,total
Hope nobody,pass,though
Support,advised,me
Answer1201,was,able
Answer1201,remove,set screws
Answer1202,doing manually,it
would good use,is In,my case
different user,is with,less leveling experiance
printer,is at,full temp
User1202,still hit,print
User1202,pointing,me
Answer1202,am,prepared
Answer1202,deal with,that
users,were dealing,I decide
Answer1202,read up on,other issues
User1202,do,search
bed,is in,reality
few minor quality controill issues,is with,first 0.35 mm nozzles
brass shavings,were,found
caused,be,reported
0.35 mm nozzle,gives,you
mm nozzle,can print,just as thin layer as 0.35 mm nozzle
advantage,is on,small features in outer perimiter
issues,is in,here
User1202,'re,welcome again
issue,be with,control box
chip,have,heat issues
chip,can start because of,draw
Go,was,set
Answer1203,changed,it
everything,resumed,normal functionality
Answer1203,was,told
someone,is in,future
infill,help with,strength
50 %,would,would good for part
Answer1204,think of,infill
Answer1204,think in,volume of layer
50 % infill,would print,other adjacent pass
overall part,would,Therefore would 50 % solid
Answer1204,stick with,shell of 1.5 mm
thickness,depend on,your extrusion width
shell,create strength in,project
Answer1204,use,Simplify3D
Answer1204,use Simplify3D as,my slicer
S3D supports,are,easier
Z,be,increased
Answer1204,'ve increased,overlap
overlap,help,be
other nice thing,is,ability
User1205,hold up,part
User1205,have,offset
User1205,hold part up next to,it
cleaning,fuzz in,etc.
bed,has,mass
cleaning,fuzz in,bearing
things,see,improves
What happens,is,bed
could X axis,moving forward or backwards in,Y axis direction
could X axis,is causing,it
loose nozzle,mount,X carriage bearings
other picture,is,more difficult
whole thing,is sitting on,support layer
play,is in,place
has,flaw at,location
User1206,Can post STL file for,that
User1206,Can post,STL file
pattern,is on,there outside curve
Anti Z,wobble,part
Openbuilds Z axis,help,some
Discojohn,has,Reinforced Hexagon Extruder body
right side Z motor,attempting,test print
User1207,might try,start
leadscrew,may out of,may parallel
Whichever,improving,wobble
User1207,resetting,Z axis couplers
3d-Printer,Also check,your filliament diameter setting
Abs temperature,start with,240c
User1208,are close to,too bed
attachments button,upload at,once
Answer1209,sand,it
Answer1209,def want,as conservative
Answer1209,'ll probably just avoid,acetone
User1209,need,3/16 thick 12 x 12 plate
new PEI sheet,is with,adhesive
inserts,M3 from,Mcmaster Carr
User1209,put,PEI
User1209,put PEI on top of,aluminum
huge advantage,is,heat
aluminum sheet,gives,you
glass,have,spot
glass,have spot in,edges
quarter,turn,CCW
User1210,increase,past .3
Z-offset value,increase,adhesion
Z-offset value,will lower further,nozzle
Bed,mounts on,Taz 3
Bed mounts,would allow,lifting
distance,should,should identical
motor,turn,one leadscrew
nozzle,adjust,screws
nozzle,adjust screws,match
things,are,just squished down enough
User1211,get,good contact pattern
User1211,bent,something important
User1212,run STL s through,netfabb
MS,has,online repair tool
User1212,run,STL s
Answer1212,affect,print
solution,provide,more cooling
forum community users,better cool,heatsink
forum community users,have come up with,conversions
Most,replacing,small blower
30x30 box fan,utilizing,same wiring
Most,replacing blower with,30x30 box fan
User1213,want,detail
%,should,should fine
User1213,are,well dialed
User1213,print,it
drop,is with,additional nice features
Taz X carriage,be,drop
Taz X carriage,be drop in,replacement
leadscrew nuts,do,search
leadscrew nuts,do search in,forums for exact part numbers
User1214,buy,new thats
Taz 1,was,12 volt version
Taz 2,should,should 24 volt already
Answer1215,posted over,there
my plan,use,Simplify 3D
Simplify 3D,Save gcode to,SD
User1215,have connected to,it
User1215,control,machine interface
Octoprint,runs on,SBPi
Answer1215,'m,sure
Answer1215,also have,computers in room
gcode,using,Cura
my workflow,slice,gcode
Answer1215,have,browser open to Octoprint page
User1215,drop file on,side
User1215,drop,file
Answer1215,have,octoprint
print,is in,progress
Answer1215,use,camera module
Answer1215,added,lighting
Answer1215,can turn,room lights
Answer1215,still see,image
same page,has,controls for X/Y/Z steppers
temperature,gets,its own tab
instructions,is with,picture of socket arrangements for upgrade
Answer1217,taking,look at ones
Answer1217,taking look in,mod list thread
t,0,2378
Answer1218,also use PVA stick as,sticking agent
Answer1218,also use,PVA stick
my problem,was,combination
my problem,was combination of,hand oil
bed,was,still warm
Answer1218,have had,issues with acetone on PEI surface
cooling,caused by,rapid evaporation acetone
lead,attach,lead
User1219,cut,zip ties
You will have,are,cheap
User1219,move,Z axis
User1219,can used,LCD controller
motor,is,problem
User1219,will need,motor works
User1219,use,VOM
problem,is in,wiring harness
User1219,use VOM,determine
Answer1220,get,them
Ill,post,pictures
replacement plate,was,slightly thicker
Answer1221,actually started out,printing ABS
User1221,once figure out,learning curve
